material,group,power,S,z0,w0,I0,DPhi,n2
window,2,20,0.3335308700777203,0.015370972509606872,6.177646281434677e-05,3336291.913214986,0.07101612988268335,2.642455562999862e-13
window,3,20,0.26286710103542504,0.015370972509606872,6.177646281434677e-05,3336291.913214986,0.09533733460405618,3.5474288813293535e-13
