material,group,power,S,z0,w0,I0,DPhi,n2
window,2,20,0.3335308700777203,0.015370972509606872,6.177646281434677e-05,3336291.913214986,0.07101612988268335,2.642455562999862e-13
window,3,20,0.26286710103542504,0.015370972509606872,6.177646281434677e-05,3336291.913214986,0.09533733460405618,3.5474288813293535e-13
window,2,40,0.38974991607308807,0.018253029855158146,6.731933962428392e-05,5619017.959098931,0.14809469193086944,3.27185317820095e-13
window,3,40,0.39373044046675004,0.019213715637008574,6.906818513118364e-05,5338067.061143983,0.19776450788715355,4.599165753731163e-13
