material,group,power,S,z0,w0,I0,DPhi,n2
cg,1,20,0.34769658428272954,0.012488915164055583,5.568455107348042e-05,4106205.431649215,0.2320230385329597,7.014636506760061e-12
cg,4,20,0.33819370152669126,0.014410286727756426,5.9814802916891665e-05,3558711.3740959894,0.26447548575517427,9.225871288396317e-12
cg,5,20,0.22118404925274146,0.015370972509606848,6.177646281434671e-05,3336291.9132149923,0.2562599384530177,9.535235179075789e-12
cg,1,40,0.4123354426781109,0.013449600945906005,5.7786589604516555e-05,7625810.087348546,0.5078647324344485,8.267549505855788e-12
cg,4,40,0.32734416907264463,0.014410286727756426,5.9814802916891665e-05,7117422.748191979,0.5138186166810825,8.961935374739678e-12
cg,6,40,0.4303499493306168,0.013449600945905997,5.7786589604516535e-05,7625810.087348551,0.49460607027466075,8.051711234783059e-12
